"Country"	"Continent"	"clinical_R_perc"	"clinical_n_isolates"	"total_arg_count"	"total_reads"	"basic_sanitation"	"arg_norm"
"Albania"	"Europe"	NA	NA	104719	160578946	97.7	652.134059965744
"Australia"	"Oceania"	53.2	9122	96502	252050988	100	382.866977692625
"Austria"	"Europe"	50.5	5094	43669	122349186	100	356.921050541358
"Bulgaria"	"Europe"	78	186	53799	144344004	86	372.71378449499
"Brazil"	"Americas"	NA	NA	187097	268886370	86.1	695.821807553875
"Botswana"	"Africa"	NA	NA	51436	97225818	60	529.03643351193
"Canada"	"Americas"	43.7	66756	190126	493288920	98.5	385.425239228969
"Switzerland"	"Europe"	46	4346	18790	122395978	99.9	153.51811642046
"China"	"Asia"	88	4166	21017	104589686	75	200.947156491129
"Cote d'Ivoire"	"Africa"	NA	NA	105566	125771928	29.9	839.344690653068
"Colombia"	"Americas"	NA	NA	11884	56375638	84.4	210.800275111742
"Czech Republic"	"Europe"	55.1	3055	63377	146920920	99.1	431.368112859625
"Germany"	"Europe"	49	15957	26775	107180242	99.2	249.812833973635
"Denmark"	"Europe"	45	4698	74237	279890340	99.6	265.236020650087
"Ecuador"	"Americas"	83	374	93394	191095518	86.1	488.729411225647
"Spain"	"Europe"	64.1	6791	98817	277209376	99.9	356.470626736666
"Ethiopia"	"Africa"	NA	NA	51561	107405986	7.1	480.057042630752
"Finland"	"Europe"	35.8	2690	35979	97333144	99.4	369.647979315247
"Georgia"	"Asia"	100	7	25404	141567110	84.9	179.448460874846
"Ghana"	"Africa"	NA	NA	29080	99688516	14.3	291.708625695662
"Croatia"	"Europe"	57.3	1043	35642	86898488	97.5	410.156733682179
"Hungary"	"Europe"	57.4	1969	1671	8342678	98	200.295396753896
"India"	"Asia"	NA	NA	72972	149806460	44.2	487.10849986042
"Ireland"	"Europe"	68.1	2990	45547	135008296	92.2	337.364453514768
"Iran"	"Asia"	NA	NA	95827	120820286	88.3	793.136675740033
"Iceland"	"Europe"	43.8	192	36269	104332214	98.8	347.629927607977
"Israel"	"Asia"	NA	NA	18729	42745830	100	438.148001805088
"Italy"	"Europe"	66.9	3114	35269	121482438	99.3	290.321799435734
"Kazakhstan"	"Asia"	NA	NA	44623	97844722	97.8	456.059346767831
"Kenya"	"Africa"	86	57	109336	126888030	29.8	861.67308295353
"Cambodia"	"Asia"	NA	NA	54934	83299946	48.8	659.472216224486
"Sri Lanka"	"Asia"	NA	NA	11661	116365138	94.2	100.210425565774
"Luxembourg"	"Europe"	53.2	419	43217	93358604	97.6	462.913948456213
"Latvia"	"Europe"	55.1	247	15906	60619308	92.9	262.391645909254
"Moldova"	"Europe"	NA	NA	83778	125428064	78.4	667.936642950975
"Macedonia"	"Europe"	93	42	61439	134086566	90.9	458.20399338141
"Malta"	"Europe"	60.1	328	69821	122445612	100	570.220515537952
"Malaysia"	"Asia"	69	6113	53469	132042466	99.6	404.937908384716
"Nigeria"	"Africa"	NA	NA	83454	94955824	32.6	878.871842552806
"Netherlands"	"Europe"	45.9	6394	19179	272685752	97.7	70.3337077912307
"Norway"	"Europe"	42.9	3615	21274	135918878	98.1	156.51983236648
"Nepal"	"Asia"	NA	NA	56805	96632862	46.1	587.843501934156
"New Zealand"	"Oceania"	57	1828	9433	137896178	100	68.4065369817574
"Poland"	"Europe"	64.5	1034	32504	102958616	98.1	315.699659366051
"Pakistan"	"Asia"	97	427	73348	106481566	58.3	688.832844550765
"Peru"	"Americas"	NA	NA	68060	66952088	76.8	1016.54783342978
"Senegal"	"Africa"	NA	NA	61157	129098114	48.4	473.724968592492
"Singapore"	"Asia"	NA	NA	26992	87823504	100	307.34369241291
"Serbia"	"Europe"	72	320	59042	85902812	94.6	687.311609775941
"Slovakia"	"Europe"	62.3	817	23587	74355966	98.9	317.217316496164
"Slovenia"	"Europe"	57.1	1420	54987	123338024	99.1	445.823584785175
"Sweden"	"Europe"	34.1	396	44660	234761786	99.3	190.235390354374
"Chad"	"Africa"	NA	NA	43083	32003220	9.5	1346.20828779104
"Togo"	"Africa"	NA	NA	87307	163956770	13.9	532.500121830895
"Turkey"	"Asia"	79	2887	32053	139338398	96.4	230.037092862227
"Tanzania"	"Africa"	NA	NA	150681	114925494	23.5	1311.11901072185
"USA"	"Americas"	NA	NA	423832	1269554466	100	333.843101143484
"Viet Nam"	"Asia"	94	783	49532	124252610	78.2	398.639513487886
"Kosovo"	"Europe"	78	18	95147	85056496	NA	1118.6329613202
"South Africa"	"Africa"	NA	NA	25135	53280222	73.1	471.751037373681
"Zambia"	"Africa"	NA	NA	234704	498989084	31.1	470.358986851103
