Accession	Description	Ctrl_1	Ctrl_2	Ctrl_3	Low_1	Low_2	Low_3	High_1	High_2	High_3
Q6DGW9	Endothelin converting enzyme 2 OS=Danio rerio GN=ece2b PE=2 SV=1	102.0328322	93.2596393	106.0135591	107.7014309	108.8425138	97.96716782	87.02260704	85.99426701	107.1278163
E9QF57	Beta-3-glucosyltransferase a OS=Danio rerio GN=b3glcta PE=2 SV=1	101.8135431	100.2087478	84.82141686	90.73220218	81.29097956	114.3449611	99.79125221	96.63506973	106.83592
Q6PBZ6	Myocyte enhancer factor 2cb isoform alpha 2 OS=Danio rerio GN=mef2cb PE=2 SV=1	64.29073371	72.51827643	140.4784852	86.94404108	113.0559589	116.2946313	129.5703962	73.2203894	83.43905984
F1R5I6	Vitamin D receptor alpha OS=Danio rerio GN=vdra PE=2 SV=1	88.49918588	85.43328879	102.0142035	92.71527944	88.80386091	101.7457298	119.4073113	99.0311664	100.9688336
E7EXM9	Vitamin D receptor beta OS=Danio rerio GN=vdrb PE=2 SV=1	85.98893647	84.85524943	99.91267254	89.26781358	87.71301372	101.4176795	121.2096737	100.0873275	102.0908641
A2RRV9	Beta thymosin-like protein 2 OS=Danio rerio GN=tmsb1 PE=1 SV=1	101.0045566	104.6025423	65.86094298	100.6586681	42.7680884	115.57935260000001	57.1468934	99.34133188	114.1935346
F1QXG2	Synapsin III OS=Danio rerio GN=syn3 PE=2 SV=1	101.8512972	100.8371938	102.5004917	103.8971522	106.4426485	96.61619818	99.08790752	95.34048092	99.1628062
Q801L4	Nucleophosmin 1a OS=Danio rerio GN=npm1a PE=1 SV=1	104.2859104	101.2154139	88.51919517	102.009642	81.00227195	106.3324328	90.36431796	104.6457919	98.78458609
Q1LVX1	Ubiquitin-conjugating enzyme E2Kb (UBC1 homolog, yeast) OS=Danio rerio GN=ube2kb PE=1 SV=1	96.43213586	107.2202462	89.38946147	101.1349091	98.97858624	101.0214138	85.33572134	101.2223537	113.5340088
A0A0R4II48	Crystallin, gamma N2 (Fragment) OS=Danio rerio GN=crygn2 PE=1 SV=1	101.1161025	100.8212123	104.1051678	99.17878775	121.8894118	70.390352	85.00315254	76.2561357	80.0334603
